[2024-06-28T22:01:43.069+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-06-28T22:01:43.089+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: NYC_Taxi_pipeline.data_delivery manual__2024-06-28T22:01:39.355471+00:00 [queued]>
[2024-06-28T22:01:43.098+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: NYC_Taxi_pipeline.data_delivery manual__2024-06-28T22:01:39.355471+00:00 [queued]>
[2024-06-28T22:01:43.098+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-06-28T22:01:43.109+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): data_delivery> on 2024-06-28 22:01:39.355471+00:00
[2024-06-28T22:01:43.116+0000] {standard_task_runner.py:63} INFO - Started process 394 to run task
[2024-06-28T22:01:43.118+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'NYC_Taxi_pipeline', 'data_delivery', 'manual__2024-06-28T22:01:39.355471+00:00', '--job-id', '140', '--raw', '--subdir', 'DAGS_FOLDER/NYC_Taxi_pipeline.py', '--cfg-path', '/tmp/tmpixrjg117']
[2024-06-28T22:01:43.121+0000] {standard_task_runner.py:91} INFO - Job 140: Subtask data_delivery
[2024-06-28T22:01:43.160+0000] {task_command.py:426} INFO - Running <TaskInstance: NYC_Taxi_pipeline.data_delivery manual__2024-06-28T22:01:39.355471+00:00 [running]> on host 79a59ce16f65
[2024-06-28T22:01:43.411+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Mahmoud' AIRFLOW_CTX_DAG_ID='NYC_Taxi_pipeline' AIRFLOW_CTX_TASK_ID='data_delivery' AIRFLOW_CTX_EXECUTION_DATE='2024-06-28T22:01:39.355471+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-28T22:01:39.355471+00:00'
[2024-06-28T22:01:43.412+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-06-28T22:01:43.421+0000] {NYC_Taxi_pipeline.py:54} INFO - data_delivery started
[2024-06-28T22:01:43.422+0000] {Load_Data.py:20} INFO - Loading location Dimension ...
[2024-06-28T22:01:43.429+0000] {db_utils.py:21} INFO - Connected to PostgreSQL database successfully
[2024-06-28T22:01:43.432+0000] {Load_Data.py:36} INFO - Existing records columns: ['locationid', 'borough', 'zone', 'service_zone', 'start_date', 'end_date', 'active_flag', 'version']
[2024-06-28T22:01:43.520+0000] {db_utils.py:30} INFO - PostgreSQL connection is closed
[2024-06-28T22:01:43.522+0000] {Table_creation.py:51} INFO - Loading data into table DimLocation...
[2024-06-28T22:01:43.524+0000] {db_utils.py:21} INFO - Connected to PostgreSQL database successfully
[2024-06-28T22:01:43.526+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.526+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.527+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.527+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.528+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.528+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.529+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.529+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.529+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.530+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.530+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.531+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.531+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.531+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.532+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.532+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.533+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.533+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.533+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.534+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.534+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.534+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.535+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.535+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.536+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.536+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.536+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.537+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.537+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.537+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.538+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.538+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.538+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.539+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.539+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.540+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.540+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.540+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.541+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.541+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.542+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.542+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.542+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.543+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.543+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.543+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.544+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.544+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.545+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.545+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.545+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.546+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.546+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.546+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.547+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.547+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.548+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.548+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.549+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.549+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.549+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.550+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T22:01:43.550+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
