[2024-06-28T22:20:34.391+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-06-28T22:20:34.416+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: NYC_Taxi_pipeline.data_delivery manual__2024-06-28T22:20:30.333494+00:00 [queued]>
[2024-06-28T22:20:34.427+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: NYC_Taxi_pipeline.data_delivery manual__2024-06-28T22:20:30.333494+00:00 [queued]>
[2024-06-28T22:20:34.427+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-06-28T22:20:34.441+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): data_delivery> on 2024-06-28 22:20:30.333494+00:00
[2024-06-28T22:20:34.449+0000] {standard_task_runner.py:63} INFO - Started process 439 to run task
[2024-06-28T22:20:34.452+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'NYC_Taxi_pipeline', 'data_delivery', 'manual__2024-06-28T22:20:30.333494+00:00', '--job-id', '155', '--raw', '--subdir', 'DAGS_FOLDER/NYC_Taxi_pipeline.py', '--cfg-path', '/tmp/tmpnimqaote']
[2024-06-28T22:20:34.455+0000] {standard_task_runner.py:91} INFO - Job 155: Subtask data_delivery
[2024-06-28T22:20:34.502+0000] {task_command.py:426} INFO - Running <TaskInstance: NYC_Taxi_pipeline.data_delivery manual__2024-06-28T22:20:30.333494+00:00 [running]> on host 79a59ce16f65
[2024-06-28T22:20:34.763+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Mahmoud' AIRFLOW_CTX_DAG_ID='NYC_Taxi_pipeline' AIRFLOW_CTX_TASK_ID='data_delivery' AIRFLOW_CTX_EXECUTION_DATE='2024-06-28T22:20:30.333494+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-28T22:20:30.333494+00:00'
[2024-06-28T22:20:34.764+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-06-28T22:20:34.775+0000] {NYC_Taxi_pipeline.py:54} INFO - data_delivery started
[2024-06-28T22:20:34.776+0000] {Load_Data.py:20} INFO - Loading location Dimension ...
[2024-06-28T22:20:34.784+0000] {db_utils.py:21} INFO - Connected to PostgreSQL database successfully
[2024-06-28T22:20:34.787+0000] {Load_Data.py:36} INFO - Existing records columns: ['locationid', 'borough', 'zone', 'service_zone', 'start_date', 'end_date', 'active_flag', 'version']
[2024-06-28T22:20:34.882+0000] {Table_creation.py:51} INFO - Loading data into table DimLocation...
